Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,lat,long,geometry,reported_date
Theft,"5530 S. Ellis, Chicago, IL",2/9/24 11:49 AM,2/9/24 10:10 AM to 10:30 AM,"An unsecured, unattended electric scooter taken from the vestibule of the building",Open,24-00135,41.79444356299348,-87.6014480073706,,2024-02-09
Theft,"5228 S. Lake Park, Chicago, IL",2/10/24 4:44 PM,2/10/24 4:43 PM,An unknown subject took merchandise from the off-campus store without paying,Open,24-00137,41.80058330960611,-87.58749463922226,,2024-02-10
Information / Theft,"1554 E. 55th St., Chicago, IL",2/10/24 6:02 PM,2/10/24 5:55 PM,Two unknown subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,2024-005502,41.7952934540188,-87.588744563006,,2024-02-10
Battery,"6300 S. University, Chicago, IL",2/12/24 1:44 PM,2/12/24 12:10 PM,A group of subjects physically assaulted one victim / Three suspects were arrested by UCPD,Arrest,24-00141,41.78045407997172,-87.59732203570559,,2024-02-12
Battery,"1362 E. 59th St. , Chicago, IL",2/12/24 4:18 PM,2/12/24 3:40 PM,A person reported they were shoved by an unknown subject / Subsequent to follow up investigation it was revealed that no crime occurred,Unfounded,24-00142,41.7878968800033,-87.592727616182,,2024-02-12
Theft from Motor Vehicle,"5537 S. University, Chicago, IL",2/13/24 1:20 PM,2/12/24 to 2/13/24 9:15 PM to 8:30 AM,Catalytic converter taken from 2014 Mazda parked on the street,Open,24-00143,41.79437732120704,-87.59807034181483,,2024-02-13
Information / Theft,"1554 E. 55th St., Chicago, IL",2/13/24 2:41 PM,2/13/24 2:35 PM,Unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2024-005844,41.7952934540188,-87.588744563006,,2024-02-13
Information / Theft,"1554 E. 55th St., Chicago, IL",2/13/24 4:05 PM,2/13/24 4:00 PM,Unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2024-005852,41.7952934540188,-87.588744563006,,2024-02-13
Information / Theft,"1554 E. 55th St., Chicago, IL",2/13/24 5:58 PM,2/13/24 5:55 PM,Two unknown subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,2024-005861,41.7952934540188,-87.588744563006,,2024-02-13
Theft,"1131 E. 57th St., Chicago, IL",2/13/24 6:58 PM,2/13/24 5:45 PM to 6:15 PM,"Wallet taken from unattended, unsecured bag / Unauthorized use of credit cards reported",Open,24-00147,41.79136830804697,-87.5983277853494,,2024-02-13
Information / Theft,"1369 E. 53rd St., Chicago, IL",2/13/24 6:50 PM,2/13/24 6:20 PM,"Wallet taken from unattended, unsecured bag in off-campus cafe / Unauthorized use of credit cards reported / Referred to CPD",Referred,2024-005866,41.79945124470828,-87.59207719981129,,2024-02-13
Information / Motor Vehicle Theft,"1363 E. 53rd St., Chicago, IL",2/13/24 11:28 PM,2/13/24 11:15 PM to 11:28 PM,Parked and secured 2020 Jeep parked on the street off-campus taken by unknown person(s) / Referred to CPD,Referred,2024-005899,41.79945042752343,-87.5921201021352,,2024-02-13
Theft,"1131 E. 57th St., Chicago, IL",2/14/24 10:05 AM,2/13/24 to 2/14/24 4:00 PM to 9:45 AM,"iPad and Air Pods taken from unattended, unsecured bookbag",Open,24-00148,41.79136830804697,-87.5983277853494,,2024-02-14
Information / Battery,"5100 S. Dorchester, Chicago, IL",2/14/24 8:18 PM,2/14/24 7:45 PM,"Three unknown subjects that had confronted victim 3 days prior, struck victim with their fists and fled on foot / Referred to CPD",Referred,2024-006015,41.80236019815618,-87.59192672924729,,2024-02-14
Information / Robbery,"5428 S. Kimbark, Chicago, IL",2/14/24 9:09 PM,2/14/24 9:05 PM,"Person walking on the sidewalk off-campus was confronted by 3 unknown suspects, one of whom forcibly took the victim's coat before fleeing in a waiting vehicle / CPD case JH152764",CPD,2024-006021,41.79713986035063,-87.59504892988565,,2024-02-14
Information / Motor Vehicle Theft,"5428 S. Kimbark, Chicago, IL",2/14/24 9:34 PM,2/14/24 9:05 PM,"A 2008 Kia Soul, parked and secured on the street off-campus was taken by unknown offenders / CPD case",CPD,2024-006025,41.79713986035063,-87.59504892988565,,2024-02-14
Information / Theft,"1340 E. 47th St., Chicago, IL",2/15/24 9:48 AM,2/14/24 4:00 PM,"Wallet taken from unattended, unsecured jacket in off-campus building / Referred to CPD",Referred,2024-006099,41.80974094933032,-87.59279308193072,,2024-02-15
Information / Theft,"1554 E. 55th St., Chicago, IL",2/15/24 11:02 AM,2/15/24 11:00 AM,A subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2024-006107,41.7952934540188,-87.588744563006,,2024-02-15
